Company Name,Membership Type,Status,Join Date,Business Type,City
BA Dawson Blacktop Ltd. - Kamloops,Industry,Active,1969-07-01,General Contractor,Kamloops
Badger Daylighting LP,Industry,Active,2023-03-01,Trade Contractor,Kelowna
BAR Engineering Co. Ltd.,Professional,Active,2022-05-24,Professional,Vernon
BAT Construction Ltd. - Kamloops,Industry,Active,1999-04-13,General Contractor,Kamloops
BC Fasteners & Tools Ltd.,Manufacturer & Supplier,Active,1999-01-21,Manufacturer & Supplier,Kelowna
BDO Canada LLP (Kelowna),Professional,Active,2022-11-21,Professional,Kelowna
BDO Canada LLP (Vernon),Professional,Active,2015-04-23,Professional,Vernon
Bear Ridge Railing Mfg.,Industry,Active,2012-05-15,Trade Contractor,Kelowna
Bennett Contracting Ltd.,Industry,Active,2000-04-26,General Contractor,Kelowna
Berry Architecture + Associates,Professional,Active,2023-05-19,Professional,Kelowna
Best Quality Roofing,Industry,Active,2024-05-14,Trade Contractor,Kelowna
Betts Electric & Security Ltd.,Industry,Active,1969-03-20,Trade Contractor,Penticton
Big Steel Box,Manufacturer & Supplier,Active,2010-07-20,Manufacturer & Supplier,Kelowna
Bird Construction,Industry,Active,2006-10-05,General Contractor,Kelowna
Bluegreen Architecture Inc,,Active,2015-01-22,Allied Services - Eligible,Kamloops
Bluepoint Construction Limited,Industry,Active,2023-11-30,General Contractor,Kelowna
Brault Roofing,Industry,Active,2024-02-12,Trade Contractor,Kelowna
Bree Contracting Ltd.,Industry,Active,2020-01-23,General Contractor,100 Mile House
BREGA Contracting,Industry,Active,2025-01-29,Trade Contractor,Kamloops
Brentwood Enterprises Ltd.,Industry,Active,1990-03-01,General Contractor,Kamloops
Bricor Mechanical Ltd. dba Ace Plumbing & Heating,Industry,Active,2002-09-26,Trade Contractor,Kelowna
Bridgeport The Floor Store Ltd.,Industry,Active,2020-10-27,Trade Contractor,Kamloops
Britco LP,Manufacturer & Supplier,Active,2024-01-01,Manufacturer & Supplier,Kelowna
Bronag Contracting Ltd.,Industry,Active,2010-04-07,General Contractor,Kelowna
BTR Fire Protection Ltd.,Industry,Active,2008-03-12,Trade Contractor,West Kelowna
Burly Sheet Metal,Industry,Active,2025-01-15,Trade Contractor,Penticton
Burnco Rock Products Ltd.,Manufacturer & Supplier,Active,1988-03-01,Manufacturer & Supplier,West Kelowna
Business Development Bank of Canada,Associate,Active,2019-05-09,Ancillary Services,Kelowna
C & G Insulation 2003 Ltd.,Industry,Active,1974-10-01,Trade Contractor,West Kelowna
Caliber Sport Systems,Industry,Active,2010-02-22,Trade Contractor,Calgary
Callahan Property Group Ltd.,Industry,Active,1994-09-01,Design Build,Kelowna
Canadian Restaurant Supply,Manufacturer & Supplier,Active,2014-02-13,Manufacturer & Supplier,Kelowna
CanCADD Imaging Solutions Ltd.,Associate,Active,2004-10-06,Ancillary Services,Kelowna
Care Systems Services Ltd.,Industry,Active,1994-11-01,Trade Contractor,Vernon
Carollo Engineers Canada Ltd,Professional,Active,2023-04-20,Professional,Kelowna
Carr-Ben Exteriors Ltd.,Industry,Active,2024-03-11,General Contractor,Kelowna
Cascade Aqua-Tech,Manufacturer & Supplier,Active,2012-06-05,Manufacturer & Supplier,Kelowna
Centurion Mechanical Ltd.,Industry,Active,2022-11-23,Trade Contractor,Airdrie
Certified Demolition,Industry,Active,2023-02-16,Trade Contractor,West Kelowna
Chandos Construction Ltd.,Industry,Active,2018-12-11,General Contractor,Kelowna
Chapman Mechanical Ltd.,Industry,Active,2022-01-28,Trade Contractor,Vernon
Childs Chanton Chartered Professional Accountants,Professional,Active,1973-07-23,Professional,Castlegar
Chriscan Construction,Industry,Active,2018-02-07,General Contractor,Kelowna
Christman Plumbing & Heating Ltd.,Industry,Active,2003-08-07,Trade Contractor,Kelowna
Civic Legal LLP,Professional,Active,2017-06-06,Professional,Vancouver
Civil X Contracting BC Ltd.,Industry,Active,2019-03-29,Civil Contractor,West Kelowna
Clark Builders (British Columbia) Inc.,Industry,Active,2023-08-29,General Contractor,Vancouver
Classic Fire + Life Safety,Industry,Active,2023-05-12,Trade Contractor,Kelowna  
Cleaning Angels,,Active,2024-09-26,Allied Services - Eligible,Kelowna
College of The Rockies,Public Owner/Agency,Active,2024-02-27,Public Owner/Agency,Cranbrook
Combined Mechanical  Contractors (2019) Ltd.,Industry,Active,1988-02-01,Trade Contractor,Vernon
Community Roofing Ltd.,Industry,Active,1997-03-27,Trade Contractor,Vernon
Competition Glass Company Ltd.,Industry,Active,1983-03-22,Trade Contractor,Kelowna
Con-Ex Civil Contractors Ltd.,Industry,Active,2003-03-06,General Contractor,Kamloops
Connect Hearing,Associate,Active,2000-06-08,Ancillary Services,Vernon
Convoy Supply Ltd. - Kamloops  *BR,Associate,Active,2014-06-20,Ancillary Services,Kamloops
Convoy Supply Ltd. - Kelowna,Manufacturer & Supplier,Active,2014-06-20,Manufacturer & Supplier,Kelowna
Cooper Equipment Rentals,Manufacturer & Supplier,Active,2024-04-22,Manufacturer & Supplier,West Kelowna
Copcan Civil LP,Industry,Active,2012-04-18,General Contractor,Rossland
Core Engineering Services Ltd.,Professional,Active,2007-11-02,Professional,Kamloops
CORE Geomatics Group Inc.,,Active,2025-02-20,Allied Services - Eligible,Calgary
CorMac Projects Inc.,Industry,Active,2020-01-16,General Contractor,Calgary
Cranbrook Flooring Ltd.,Industry,Active,1987-12-01,Trade Contractor,Cranbrook
Crowe MacKay LLP,Professional,Active,2000-05-23,Professional,Kelowna
Cruiser Contracting 14 Ltd,Industry,Active,2009-03-03,General Contractor,Kelowna
CSD Mechanical Ltd.,Industry,Active,2019-03-07,Trade Contractor,Kelowna
CTHS Buildings Incorporated,Industry,Active,2024-10-22,General Contractor,
CTR Mechanical Ltd.,Industry,Active,2021-05-26,Trade Contractor,Vernon
Custom Air Conditioning Ltd,Industry,Active,2009-01-12,Trade Contractor,Port Coquitlam
D & G Mechanical  (1997) Ltd.,Industry,Active,1987-12-01,Trade Contractor,Kelowna
D & T Developments Ltd.,Industry,Active,1982-04-20,General Contractor,Kamloops
Dannburg Contract Floors Ltd.,Industry,Active,1987-11-01,Trade Contractor,Kelowna
Dawson Construction Ltd. - Kamloops,Industry,Active,1985-01-01,General Contractor,Kamloops
Decor 8 Painting (1990) Ltd.,Industry,Active,1993-04-01,Trade Contractor,Kamloops
DHC Communications Inc.,Industry,Active,2007-04-03,Trade Contractor,Nelson
Discovery Glass Inc.,Industry,Active,2016-12-02,Trade Contractor,Kelowna
Distinct Cribbing & Framing Inc.,Industry,Active,2017-08-18,Trade Contractor,West Kelowna
District of Lake Country,Public Owner/Agency,Active,2024-09-01,Public Owner/Agency,Lake country
DJM Contracting Ltd.,Industry,Active,2012-01-28,General Contractor,Rossland
Donald's Machine Works Ltd.,Industry,Active,1994-10-01,Trade Contractor,Vernon
DOORTECH MFG & DISTRIBUTION LTD.,Manufacturer & Supplier,Active,2025-02-11,Manufacturer & Supplier,Kelowna
Driving Force,Associate,Active,2018-04-30,Ancillary Services,Kelowna
Dycor Builders Ltd.,Industry,Active,2024-12-05,Trade Contractor,Vernon
E. H. Price Ltd.,Manufacturer & Supplier,Active,1992-08-01,Manufacturer & Supplier,Kelowna
Eagle Mountain Industries,Industry,Active,2025-02-14,General Contractor,Vernon
Ecco Supply Adv Ecco Heating Products Ltd.,Manufacturer & Supplier,Active,1979-11-13,Manufacturer & Supplier,Kelowna
Eckert Electric Ltd.,Industry,Active,1994-03-01,Trade Contractor,Penticton
Econospan Structures Inc.,Industry,Active,2024-06-19,Trade Contractor,Chase
Eecol Electric (Sask) Corp. - Kamloops *BR,Associate,Active,1998-03-01,Ancillary Services,Kamloops
Eecol Electric Ltd.,Manufacturer & Supplier,Active,1992-10-21,Manufacturer & Supplier,Kelowna
Elite Formwork,Industry,Active,2023-03-02,Trade Contractor,Calgary
Elliott Mumford Contracting Limited,Industry,Active,2025-01-13,General Contractor,Kamloops
Emco Corporation - Kamloops  Westlund and Waterworks,Manufacturer & Supplier,Active,1974-10-10,Manufacturer & Supplier,Kamloops
Emil Anderson Construction (EAC) Inc - Kelowna,Industry,Active,2009-12-11,General Contractor,Kelowna
Emry Formworks,Industry,Active,2017-11-29,Trade Contractor,Kelowna
ENCO Construction Ltd.,Industry,Active,2011-01-11,Trade Contractor,Lake Country
Engineered Surface Systems,Industry,Active,2022-02-18,Trade Contractor,Peachland
Environmental 360 Solutions,Manufacturer & Supplier,Active,2024-05-30,Manufacturer & Supplier,Kelowna
Expocrete Concrete Products Ltd.,Manufacturer & Supplier,Active,1997-01-08,Manufacturer & Supplier,Richmond
Extreme Excavating Ltd.,Industry,Active,2006-03-15,General Contractor,Kamloops
F H & P Lawyers LLP,Professional,Active,2018-10-18,Professional,Kelowna
Faction Projects Inc.,Industry,Active,2014-11-06,General Contractor,Kelowna
Falcon Engineering,Professional,Active,2019-12-19,Professional,Kelowna
Falcon Refrigeration & Air Conditioning Ltd.,Industry,Active,2012-12-13,Trade Contractor,West Kelowna
Fillmore Construction Management Inc.,Industry,Active,2017-08-11,General Contractor,Edmonton
Firesafe Sprinkler Systems Inc.,Industry,Active,2002-10-31,Trade Contractor,Salmon Arm
Flynn Canada Ltd. - Kelowna,Industry,Active,2004-11-29,Trade Contractor,Kelowna
Fort Modular Inc.,Manufacturer & Supplier,Active,2020-01-09,Manufacturer & Supplier,Barriere
Four Point Electric Inc.,Industry,Active,2020-03-27,Trade Contractor,Lake Country
Freeport Industries Ltd.,Manufacturer & Supplier,Active,2018-01-01,Manufacturer & Supplier,West Kelowna
Fulton & Company,Professional,Active,2023-01-20,Professional,Kamloops
Gabe's Painting & Decorating Ltd.,Industry,Active,2012-01-27,Trade Contractor,Kamloops
GAF,Manufacturer & Supplier,Active,2023-05-09,Manufacturer & Supplier,Parsippany
Gard Ventures Ltd.,Professional,Active,2024-07-01,Professional,Kelowna
Geometrik Manufacturing Inc.,Manufacturer & Supplier,Active,2008-04-18,Manufacturer & Supplier,Kelowna
Geotility Geothermal Installation Corp.,Industry,Active,2007-05-22,Trade Contractor,Kelowna
Gerry Enns Contracting Ltd. (GEC),Industry,Active,2022-01-03,General Contractor,Kelowna
Glass Canada Inc.,Industry,Active,2008-11-22,Trade Contractor,Kelowna
Gould Ventures Ltd dba Gould Mechanical,Industry,Active,2024-04-25,Trade Contractor,Kelowna
Grandt Contracting,Industry,Active,2024-02-29,Trade Contractor,Lake Country
Grayhawk Industries Ltd.,Industry,Active,1995-07-17,Trade Contractor,Kelowna
Greenscape Landscaping Ltd.,Industry,Active,2023-03-07,Trade Contractor,Penticton
Greyback Construction Ltd.,Industry,Active,1987-07-01,General Contractor,Penticton
Grizzly Metal Fab Inc,Manufacturer & Supplier,Active,2009-05-07,Manufacturer & Supplier,Kelowna
GRM Sealants & Coatings Inc.,Industry,Active,2015-04-07,Trade Contractor,West Kelowna
Guillevin International Co. - Kelowna,Manufacturer & Supplier,Active,1984-07-01,Manufacturer & Supplier,Kelowna
Hall Excavating,Industry,Active,2014-04-07,Trade Contractor,Kamloops
Harmony Homes,Industry,Active,2024-02-07,Trade Contractor,Kelowna
Harrison Industrial Contracting Ltd.,Industry,Active,1988-12-01,Trade Contractor,Kamloops
Hearing Life Industrial,,Active,2025-02-25,Allied Services - Eligible,Westbank
Heidelberg Materials - Kelowna,Manufacturer & Supplier,Active,2022-03-08,Manufacturer & Supplier,Kelowna
Heritage Roofing & Sheet Metal Ltd.,Industry,Active,1988-03-01,Trade Contractor,Nelson
Highstreet Ventures Inc.,Industry,Active,2017-03-22,Private Owner/Developer,Kelowna
Hil-Tech Contracting Limited,Industry,Active,1995-09-08,General Contractor,Trail
Home Building Centre,Industry,Active,2009-03-09,Trade Contractor,Vernon
Horizon Contracting Group,Industry,Active,2022-04-27,Trade Contractor,Kelowna
Horizon Electric Inc.,Industry,Active,1994-02-02,Trade Contractor,Kelowna
Houle Electric Limited - Kamloops *BR,Associate,Active,2011-10-14,Ancillary Services,Kamloops
Houle Electric Ltd.,Industry,Active,2008-06-05,Trade Contractor,Kelowna
Howell Electric Ltd.,Industry,Active,1988-06-01,Trade Contractor,Kamloops
Hub International Insurance Brokers,Industry,Active,1980-11-13,Insurance & Bonding,Kamloops
Iconix Waterworks (Kamloops) *BR,Associate,Active,1995-07-19,Ancillary Services,Kamloops
Iconix Waterworks (Kelowna),Manufacturer & Supplier,Active,1990-07-01,Manufacturer & Supplier,Kelowna
Iconix Waterworks (Vernon) *BR,Associate,Active,1993-06-01,Ancillary Services,Vernon
Impact Drywall Inc.,Industry,Active,2020-03-09,Trade Contractor,Kelowna
Infracon Construction Inc.,Industry,Active,2005-02-24,General Contractor,Kamloops
Inland Glass & Aluminum Ltd.,Industry,Active,1975-10-01,Trade Contractor,Kamloops
Inland Technical Services Ltd.,Industry,Active,1986-02-01,Trade Contractor,Kamloops
Innascore Developments,Industry,Active,2022-06-20,General Contractor,Kelowna
Innovation Drywall,Industry,Active,2023-12-12,Trade Contractor,Kelowna
Intact Insurance Companies,Manufacturer & Supplier,Active,2019-02-20,Manufacturer & Supplier,Vancouver
Interior Elite Contracting Ltd.,Industry,Active,2022-11-04,General Contractor,Kamloops
Interior Health Authority,Public Owner/Agency,Active,2024-04-25,Public Owner/Agency,Kelowna
Interior Marine Construction Ltd.,Industry,Active,2024-02-26,Trade Contractor,Scotch Creek
Interior Plumbing & Heating Ltd.,Industry,Active,1969-07-01,Trade Contractor,Kamloops
Interior Power Vac Ltd.,Industry,Active,1996-11-21,Trade Contractor,Kelowna
Interior Roofing (2011) Ltd.,Industry,Active,1984-09-01,Trade Contractor,Penticton
Interior Solutions WC Inc.,Industry,Active,2025-01-31,General Contractor,West Kelowna
Introba,Professional,Active,2023-07-24,Professional,Kelowna
Jade Electric Ltd.,Industry,Active,2005-01-25,Trade Contractor,Kelowna
Jen-Col Construction Ltd.,Industry,Active,2025-02-11,General Contractor,Acheson
Jenkins Marzban Logan LLP (SICA),Professional,Active,2004-05-14,Professional,Vancouver
Jim Dent Construction Ltd.,Industry,Active,2023-03-31,General Contractor,Hope
Jordans Contract Sales - Kamloops,Industry,Active,1986-11-01,Trade Contractor,Kamloops
JVL Excavating Inc.,Industry,Active,2024-03-18,Trade Contractor,West Kelowna
K.B. Mechanical Ltd.,Industry,Active,2018-07-26,Trade Contractor,Kamloops
Kal Tire,Associate,Active,2010-11-09,Ancillary Services,Vernon
Kal-West Mechanical Systems Inc,Industry,Active,2001-06-29,Trade Contractor,Kelowna
KATAWA Construction Ltd.,Industry,Active,2022-09-14,General Contractor,Kelowna
KCW Construction Ltd.,Industry,Active,2017-03-06,General Contractor,Vernon
Kelco Drywall,Industry,Active,2023-06-09,Trade Contractor,Kelowna
Keldon Electric Ltd. - Kelowna,Industry,Active,1989-07-01,Trade Contractor,Kelowna
Keldon Electric Ltd. - Penticton *BR,Associate,Active,1991-10-01,Ancillary Services,Penticton
Kelowna Roofing (1984) Ltd.,Industry,Active,1981-08-01,Trade Contractor,Kelowna
Kemp Concrete Products,Manufacturer & Supplier,Active,1987-01-01,Manufacturer & Supplier,Kamloops
Kerkhoff Develop Build,Industry,Active,2024-02-15,General Contractor,Kelowna
Kilawna Builders Ltd.,Industry,Active,2018-07-25,General Contractor,Westbank
Kimberley Electric Ltd.,Industry,Active,2010-01-19,Trade Contractor,Kimberley
Kimco Controls Ltd.,Industry,Active,1984-10-01,Trade Contractor,Kelowna
Knox Fire Protection Inc.,Industry,Active,2010-12-23,Trade Contractor,Kelowna
Kodiak Drywall (2024) Ltd.,Industry,Active,1986-12-01,Trade Contractor,Kelowna
Kon Kast Concrete Products Inc.,Manufacturer & Supplier,Active,1989-04-01,Manufacturer & Supplier,Kelowna
Kootenay A-Plus Systems,Industry,Active,2005-06-13,Trade Contractor,Trail
Kowalski Floor Covering Inc. dba Kelowna Floors,Industry,Active,2021-09-21,Trade Contractor,Kelowna
KPMG LLP,Professional,Active,2022-12-09,Professional,Kelowna
Laing Roofing Ltd.,Industry,Active,1987-12-01,Trade Contractor,Kelowna
Laing Roofing Vernon Ltd. *BR,Industry,Active,2025-01-24,Trade Contractor,Vernon
Landmark Solutions,Industry,Active,2019-09-13,General Contractor,Salmon Arm
Laser Glass Railing,Manufacturer & Supplier,Active,2024-05-14,Manufacturer & Supplier,Kelowna
Latina Landscapes & Maintenance,Industry,Active,2013-09-03,Trade Contractor,Kamloops
Ledcor Construction Limited,Industry,Active,1997-10-23,General Contractor,Kelowna
Lighthouse Woodworking Ltd.,Industry,Active,2024-08-28,Trade Contractor,Kelowna
Littco Enterprises Ltd. Drywall and Insulation,Industry,Active,2001-09-18,Trade Contractor,Kelowna
Live Edge Okanagan Builders,Industry,Active,2024-11-06,General Contractor,Kelowna
Lynx Brand Fence Products (2004) Inc.,Manufacturer & Supplier,Active,1980-06-01,Manufacturer & Supplier,Kelowna
Lynx Specialty Services,Industry,Active,2024-11-13,General Contractor,Surrey
Maddocks Construction Ltd.,Industry,Active,1970-04-15,General Contractor,Armstrong
Madge Custom Roofing Ltd.,Industry,Active,2007-10-05,Trade Contractor,Kelowna
Madison Avenue Clement GP Inc.,Industry,Active,2021-04-14,General Contractor,Calgary
Maloney Contractors Ltd.,Industry,Active,1994-09-01,General Contractor,Kelowna
Maple Reinders Constructors Ltd.,Industry,Active,1997-01-16,General Contractor,Kelowna
Mark's Commercial,Associate,Active,2022-08-08,Ancillary Services,Victoria
Martech Electrical Systems Ltd.,Industry,Active,1986-06-01,Trade Contractor,Castlegar
Marvelous Ideas Contracting Ltd.,Industry,Active,2016-02-15,Trade Contractor,West Kelowna
Mazzei Electric Ltd.,Industry,Active,2021-06-28,Trade Contractor,Kelowna
McMillan LLP,Professional,Active,2025-01-01,Professional,Vancouver
Menard Canada Inc,Industry,Active,2022-11-16,Trade Contractor,Vancouver
Metric Civil Contractors Ltd.,Industry,Active,2022-06-28,Civil Contractor,Chilliwack
Mills Basics,Associate,Active,2012-08-20,Ancillary Services,Vancouver
Mission Group,Industry,Active,2014-10-20,General Contractor,Kelowna
MJB Wall & Ceiling Ltd,Industry,Active,2004-02-13,Trade Contractor,Kelowna
MMCD Association,Associate,Active,2012-07-18,Ancillary Services,Vancouver
MNP LLP,Professional,Active,2013-09-09,Professional,Kelowna
Modern Paint & Floors,Industry,Active,1971-05-01,Trade Contractor,Kelowna
Moen Inc.,Manufacturer & Supplier,Active,2014-02-28,Manufacturer & Supplier,Peachland
Mountain Home Services,Industry,Active,2024-11-04,Trade Contractor,Kelowna
MQN Architecture & Interior Design,Professional,Active,1993-03-01,Professional,Vernon
N & H Contracting Ltd.,Industry,Active,2018-03-01,General Contractor,Kamloops
Nagle Creative Carpets Ltd.  -  DBA United Floors,Industry,Active,2009-10-05,Trade Contractor,Kamloops
Nailed It Drywall,Industry,Active,2024-04-11,Trade Contractor,Kelowna
NewGround Canada,Industry,Active,2023-11-24,General Contractor,Waterloo
Nielsen Roofing & Sheet Metal Ltd.,Industry,Active,1969-07-01,Trade Contractor,Penticton
Noble British Columbia,Manufacturer & Supplier,Active,2024-03-11,Manufacturer & Supplier,Kelowna
Norelco Cabinets Ltd,Manufacturer & Supplier,Active,2004-11-22,Manufacturer & Supplier,Kelowna
Norsteel Building Systems Ltd.,Industry,Active,2013-05-09,Trade Contractor,Kelowna
North Mountain Construction,Industry,Active,2019-11-04,Trade Contractor,Nelson
Northbridge Insurance,Industry,Active,2017-09-15,Insurance & Bonding,Vancouver
Nu Vue Exteriors Ltd.,Industry,Active,2019-10-22,Trade Contractor,Kamloops
"Nucor Rebar Fabrication, a Division of Nucor Steel ULC",Industry,Active,2006-07-11,Trade Contractor,Kelowna
OK Excavating div. of Green Leaf Enterprises Ltd.,Industry,Active,2001-03-02,General Contractor,Kelowna
Okanagan College,Public Owner/Agency,Active,2024-02-21,Public Owner/Agency,Kelowna
Okanagan Fire Protection Services Ltd.,Industry,Active,1993-04-01,Trade Contractor,Kelowna
Okanagan Insulation,Industry,Active,2018-01-22,Trade Contractor,Kelowna 
Okanagan Training & Development Council,Associate,Active,2022-09-06,Ancillary Services,Kelowna
Olympic Roofing Ltd.,Industry,Active,2003-03-27,Trade Contractor,Coquitlam
Omega Communications Ltd.,Associate,Active,2023-02-23,Ancillary Services,Kelowna
Onsite Civil Excavating Ltd,Industry,Active,2023-10-11,Civil Contractor,Kelowna
ORCA STEEL & ERECTING LTD,Industry,Active,2024-08-26,Trade Contractor,Spallumcheen
P236 Enterprises Ltd. DBA Advantage Insulation,Industry,Active,2015-05-05,Trade Contractor,Kamloops
P5 Millwork & Design,Industry,Active,2020-08-06,Trade Contractor,Spallumcheen
Pac West Contracting,Industry,Active,2019-06-17,General Contractor,Kelowna
Pagnotta Industries,Industry,Active,2024-06-13,Trade Contractor,Edmonton
Paradigm Building Solutions Ltd,Industry,Active,2021-09-24,Trade Contractor,Louis Creek
Parke Pacific Projects Ltd.,Industry,Active,2023-01-17,General Contractor,Kelowna
Pavement Solutions Inc.,Industry,Active,2023-09-25,Trade Contractor,Sorrento
PBX Engineering,Professional,Active,2019-10-31,Professional,Kelowna
PCL Constructors Westcoast Inc. - Kelowna,Industry,Active,2000-06-06,General Contractor,Kelowna
Peoples Insulation,Industry,Active,2023-11-01,Trade Contractor,Kelowna
Petro-Canada,Associate,Active,2024-03-12,Ancillary Services,
Petrocom Construction Ltd,Industry,Active,2009-03-31,General Contractor,Edmonton
Phil Long Construction Services Ltd.,Professional,Active,2018-05-02,Professional,West Kelowna
Phoenix Stretch Ceilings,Industry,Active,2022-12-23,Trade Contractor,Kelowna
Pihl Law Corporation,Professional,Active,2011-08-03,Professional,Kelowna
Plainsman Companies,Industry,Active,2015-01-09,General Contractor,Kamloops
Plan B Contractors Inc.,Industry,Active,2017-02-17,General Contractor,Kelowna
PME Inc.,Industry,Active,2022-06-06,General Contractor,Merritt
Powder Ventures Excavating Ltd.,Industry,Active,2015-06-01,Trade Contractor,Sun Peaks
Precision Cutting & Coring,Industry,Active,2021-03-01,Trade Contractor,Kelowna
PRO Crete Ltd.,Industry,Active,2017-04-24,Trade Contractor,Kelowna
Prologic Construction Ltd,Industry,Active,2024-03-08,General Contractor,West Kelowna
Pronto Enterprises Ltd.,Industry,Active,1986-01-01,Trade Contractor,Kamloops
Pushor Mitchell,Professional,Active,2012-03-16,Professional,Kelowna
Quantus Electric Ltd,Industry,Active,2011-07-18,Trade Contractor,Kelowna
R & A Engineering Ltd.,Professional,Active,2023-02-24,Professional,Vernon
R & L Construction Ltd.,Industry,Active,2023-05-31,Trade Contractor,Kelowna
R1310 Holdings Ltd. dba KM Contracting,Industry,Active,2020-02-24,Trade Contractor,Kamloops
R355 Enterprises Ltd.,Industry,Active,1999-03-25,General Contractor,Kelowna
Radian Mechanical Inc.,Industry,Active,2013-10-04,Trade Contractor,Kelowna
Ramco Floor & Tile,Industry,Active,2009-01-22,Trade Contractor,Kelowna
RCABC Guarantee Corp.,Associate,Active,2018-12-12,Ancillary Services,Langley
Redline Contracting Ltd.,Industry,Active,2016-03-31,General Contractor,Kelowna
Refrigerative Supply Ltd.,Manufacturer & Supplier,Active,2000-03-17,Manufacturer & Supplier,Kelowna
Reinbold Engineering,Professional,Active,2023-07-26,Professional,Kelowna
Rempel Builders,Industry,Active,2024-12-04,General Contractor,Kelowna
Reval Construction Inc.,Industry,Active,2020-10-02,General Contractor,Kelowna
Revay  and Associates Limited,Professional,Active,2023-08-10,Professional,Vancouver
Revelstoke Peak Construction,Industry,Active,2023-11-20,General Contractor,Revelstoke
Rimkus Consulting Group Canada Inc.,Professional,Active,2023-04-28,Professional,Richmond
Rivermist Excavating Ltd.,Industry,Active,2018-01-17,Civil Contractor,Kamloops
RJC Engineers,Professional,Active,2015-10-26,Professional,Kelowna
Robinson Masonry Ltd.,Industry,Active,2018-05-30,Trade Contractor,Kamloops
Rock Solid Industries Inc,Industry,Active,2024-01-04,General Contractor,Merritt
Rockhard Excavating,Industry,Active,2018-05-30,Trade Contractor,Kelowna
Rooham Electric Ltd.,Industry,Active,2024-02-20,Trade Contractor,Kamloops
Rutland Glass (1994) Ltd.,Industry,Active,1991-07-01,Trade Contractor,Kelowna
S.C. Restorations Ltd.,Industry,Active,2024-05-14,Trade Contractor,Kelowna
Sahuri & Associates Architecture Inc.,Professional,Active,2023-10-12,Professional,Kelowna
Sandale Utility Products,Manufacturer & Supplier,Active,2015-04-07,Manufacturer & Supplier,Surrey
Sawchuk Developments Co. Ltd.,Industry,Active,2002-03-13,General Contractor,Kelowna
